atomic_number,name,symbol,period,group,phase,type,de_name,en_name,es_name,fr_name,it_name,pt_name
80,Hydrargyrum,Hg,6,12,liq,Transition Metal,"Quecksilber
",Mercury,Mercurio,Mercure,Mercurio,Mercúrio
81,Thallium,Tl,6,13,solid,Metal,Thallium,Thallium,Talio,Thallium,Tallio,Tálio
82,Plumbum,Pb,6,14,solid,Metal,"Blei
",Lead,Plomo,Plomb,Piombo,Chumbo
83,Bismuthum,Bi,6,15,solid,Metal,"Bismut
",Bismuth,Bismuto,Bismuth,Bismuto,Bismuto
84,Polonium,Po,6,16,solid,Metalloid,Polonium,Polonium,Polonio,Polonium,Polonio,Polônio
85,Astatum,At,6,17,solid,Noble Gas,Astat,Astatine,Astato,Astate,Astato,Ástato
86,Radon,Rn,6,18,gas,Alkali Metal,Radon,Radon,Radón,Radon,Radon,Rádon
87,Francium,Fr,7,1,solid,Alkaline Earth Metal,Francium,Francium,Francio,Francium,Francio,Frâncio
88,Radium,Ra,7,2,solid,Actinide,Radium,Radium,Radio,Radium,Radio,Rádio
89,Actinium,Ac,7,3,solid,Actinide,Actinium,Actinium,Actinio,Actinium,Attinio,Actínio
90,Thorium,Th,7,,solid,Actinide,Thorium,Thorium,Torio,Thorium,Torio,Tório
91,Protactinium,Pa,7,,solid,Actinide,Protac­tinium,Protactinium,Protactinio,Protactinium,Protoattinio,Protactínio
92,Uranium,U,7,,solid,Actinide,Uran,Uranium,Uranio,Uranium,Uranio,Urânio
93,Neptunium,Np,7,,artificial,Actinide,Neptunium,Neptunium,Neptunio,Neptunium,Nettunio,Neptúnio
94,Plutonium,Pu,7,,artificial,Actinide,Plutonium,Plutonium,Plutonio,Plutonium,Plutonio,Plutônio
95,Americium,Am,7,,artificial,Actinide,Americium,Americium,Americio,Américium,Americio,Amerício
96,Curium,Cm,7,,artificial,Actinide,Curium,Curium,Curio,Curium,Curio,Cúrio
97,Berkelium,Bk,7,,artificial,Actinide,Berkelium,Berkelium,Berkelio,Berkélium,Berkelio,Berquélio
98,Californium,Cf,7,,artificial,Actinide,Californium,Californium,Californio,Californium,Californio,Califórnio
99,Einsteinium,Es,7,,artificial,Actinide,Einsteinium,Einsteinium,Einstenio,Einsteinium,Einsteinio,Einsténio
100,Fermium,Fm,7,,artificial,Actinide,Fermium,Fermium,Fermio,Fermium,Fermio,Férmio
101,Mendelevium,Md,7,,artificial,Actinide,Mende­levium,Mendelevium,Mendelevio,Mendélévium,Mendelevio,Mendelévio
102,Nobelium,No,7,,artificial,Actinide,Nobelium,Nobelium,Nobelio,Nobélium,Nobelio,Nobélio
103,Lawrencium,Lr,7,,artificial,Actinide,Lawren­cium,Lawrencium,Laurencio,Lawrencium,Laurenzio,Laurêncio
104,Rhuterfordium,Rf,7,4,artificial,Transactinide,Ruther­fordium,Rutherfordium,Rutherfordio,Rutherfordium,Rutherfordio,Rutherfórdio
105,Dubnium,Db,7,5,artificial,Transactinide,Dubnium,Dubnium,Dubnio,Dubnium,Dubnio,Dúbnio
106,Seaborgium,Sg,7,6,artificial,Transactinide,Seaborgium,Seaborgium,Seaborgio,Seaborgium,Seaborgio,Seabórgio
107,Bohrium,Bh,7,7,artificial,Transactinide,Bohrium,Bohrium,Bohrio,Bohrium,Bohrio,Bóhrio
108,Hassium,Hs,7,8,artificial,Transactinide,Hassium,Hassium,Hassio,Hassium,Hassio,Hássio
109,Meitnerium,Mt,7,9,artificial,Transactinide,Meitnerium,Meitnerium,Meitnerio,Meitnérium,Meitnerio,Meitnério
110,Darmstadtium,Ds,7,10,artificial,Transactinide,Darm­stadtium,Darmstadtium,Darmstatio,Darmstadtium,Darmstadtio,Darmstácio
111,Roentgenium,Rg,7,11,artificial,Transactinide,Roent­genium,Roentgenium,Roentgenio,Roentgenium,Roentgenio,Roentgénio
112,Copernicium,Cn,7,12,artificial,Transactinide,Coper­nicium,Copernicium,Copernicio,Copernicium,Copernicio,Copernício
113,Nihonium,Nh,7,13,artificial,Metal,Nihonium,Nihonium,Nihonio,Nihonium,Nihonio,Nipônio
114,Flerovium,Fl,7,14,artificial,Metal,Flerovium,Flerovium,Flerovio,Flérovium,Flerovio,Fleróvio
115,Moscovium,Mc,7,15,artificial,Metal,Moscovium,Moscovium,Moscovio,Moscovium,Moscovio,Moscóvio
116,Livermorium,Lv,7,16,artificial,Metal,Liver­morium,Livermorium,Livermorio,Livermorium,Livermorio,Livermório
117,Tennessine,Ts,7,17,artificial,Halogen,Tenness,Tennessine,Teneso,Tennesse,Tennesso,Tenesso
118,Oganesson,Og,7,18,artificial,Noble Gas,Oganesson,Oganesson,Oganesón,Oganesson,Oganesson,Oganésson
